name,album,artist,release_date,length,mode,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,answer
BBIBBI,BBIBBI,IU,43383,194426,1,0.839,0.241,0.617,0,0.3,-4.692,0.331,143.894,4,0.821,morning
常緑,常緑,Chippoke Ohashi,44440,171546,1,0.725,0.0242,0.75,0,0.101,-5.694,0.0772,101.19,4,0.888,morning
Koiwazurai,Sun Dance,Aimer,43564,235160,1,0.675,0.3,0.5,0,0.312,-5.825,0.0258,93.917,4,0.773,morning
imagine if,we,Garrett Nash,43476,197216,1,0.907,0.568,0.452,0,0.244,-6.673,0.187,92.063,4,0.691,morning
Truthfully,DNCE,DNCE,42692,182653,1,0.723,0.32,0.643,0,0.332,-6.861,0.0351,102.015,4,0.548,morning
comethru (with Bea Miller),comethru,Jeremy Zucker,43539,181626,1,0.757,0.572,0.192,0,0.606,-11.842,0.0515,94.024,4,0.595,morning
From now on,"Weightlifting Fairy Kim Bok Joo (Original Television Soundtrack, Pt. 2)",Vincent Blue,42697,190173,1,0.641,0.157,0.729,0.000374,0.121,-5.577,0.0468,184.059,4,0.749,morning
You&I,"Weightlifting Fairy Kim Bok Joo (Original Television Soundtrack, Pt. 1)",Kim Jong Wan,42690,215853,1,0.637,0.402,0.568,0.00122,0.159,-5.488,0.0261,129.954,4,0.196,morning
What Do I Know?,÷ (Deluxe),Ed Sheeran,42797,237333,0,0.838,0.251,0.492,0,0.262,-5.69,0.038,115.092,4,0.895,morning
Best Damn Thing,Best Damn Thing,Alexander Stewart,43448,232340,1,0.552,0.12,0.815,0,0.235,-2.61,0.0429,93.895,4,0.815,morning
강남역 4번출구,Love Falling,Plastic,42355,243978,1,0.777,0.552,0.502,0,0.0764,-4.242,0.0294,95.022,4,0.75,morning
Summer Vacation,Familia,sumika,42928,237373,1,0.631,0.655,0.739,0.0000814,0.0959,-6.403,0.0946,95.981,4,0.654,morning
